factor,ic,ic_abs,p_value,n_obs
auto_quantile_0.75_10_1_processed,-0.031765829168821355,0.031765829168821355,1.1250401114331823e-06,23479
auto_quantile_0.75_10_processed,-0.031765829168821355,0.031765829168821355,1.1250401114331823e-06,23479
auto_quantile_0.75_60_processed,-0.03160903304090037,0.03160903304090037,1.2702043607472356e-06,23479
auto_quantile_0.75_60_1_processed,-0.03160903304090037,0.03160903304090037,1.2702043607472356e-06,23479
auto_quantile_0.9_30_1_processed,-0.0313323459858565,0.0313323459858565,1.5714018968579533e-06,23479
auto_quantile_0.9_30_processed,-0.0313323459858565,0.0313323459858565,1.5714018968579533e-06,23479
auto_quantile_0.25_20_processed,-0.031216357542131156,0.031216357542131156,1.7171281653945226e-06,23479
auto_quantile_0.25_20_1_processed,-0.031216357542131156,0.031216357542131156,1.7171281653945226e-06,23479
auto_ma_20_processed,-0.030874610913860023,0.030874610913860023,2.2259345534415816e-06,23479
auto_ma_20_1_processed,-0.030874610913860023,0.030874610913860023,2.2259345534415816e-06,23479
auto_std_ratio_60_processed,-0.030695213275385325,0.030695213275385325,2.5481067740536693e-06,23479
auto_std_ratio_60_1_processed,-0.030695213275385325,0.030695213275385325,2.5481067740536693e-06,23479
auto_quantile_0.9_60_1_processed,-0.030689998574188176,0.030689998574188176,2.5581105663784333e-06,23479
auto_quantile_0.9_60_processed,-0.030689998574188176,0.030689998574188176,2.5581105663784333e-06,23479
auto_ma_60_processed,-0.02984800570359864,0.02984800570359864,4.777158843747214e-06,23479
auto_ma_60_1_processed,-0.02984800570359864,0.02984800570359864,4.777158843747214e-06,23479
auto_quantile_ratio_0.25_20_processed,0.029783133540389115,0.029783133540389115,5.009321283610393e-06,23479
auto_quantile_ratio_0.25_20_1_processed,0.029783133540389115,0.029783133540389115,5.009321283610393e-06,23479
auto_std_ratio_20_1_processed,0.029685105140695164,0.029685105140695164,5.380751628933841e-06,23479
auto_std_ratio_20_processed,0.029685105140695164,0.029685105140695164,5.380751628933841e-06,23479
auto_low_log_return_10_1_processed,0.029477708764595816,0.029477708764595816,6.255370104182167e-06,23479
auto_low_log_return_10_processed,0.029477708764595816,0.029477708764595816,6.255370104182167e-06,23479
auto_low_ratio_10_processed,0.029440264106019243,0.029440264106019243,6.427136088613906e-06,23479
auto_low_ratio_10_1_processed,0.029440264106019243,0.029440264106019243,6.427136088613906e-06,23479
auto_quantile_0.25_60_processed,-0.029042691394415752,0.029042691394415752,8.552213454343885e-06,23479
auto_quantile_0.25_60_1_processed,-0.029042691394415752,0.029042691394415752,8.552213454343885e-06,23479
auto_quantile_0.75_20_1_processed,-0.028915264676351412,0.028915264676351412,9.365113403695084e-06,23479
auto_quantile_0.75_20_processed,-0.028915264676351412,0.028915264676351412,9.365113403695084e-06,23479
auto_high_low_ratio_1_processed,0.028869655639917807,0.028869655639917807,9.673616098591522e-06,23479
auto_high_low_ratio_processed,0.028869655639917807,0.028869655639917807,9.673616098591522e-06,23479
auto_low_close_ratio_processed,-0.0285284464209217,0.0285284464209217,1.2309626974850894e-05,23479
auto_low_close_ratio_1_processed,-0.0285284464209217,0.0285284464209217,1.2309626974850894e-05,23479
auto_quantile_0.9_20_1_processed,-0.028239061152992993,0.028239061152992993,1.5069909475930084e-05,23479
auto_quantile_0.9_20_processed,-0.028239061152992993,0.028239061152992993,1.5069909475930084e-05,23479
auto_close_open_ratio_1_processed,0.027629223327070726,0.027629223327070726,2.2939766363892748e-05,23479
auto_close_open_ratio_processed,0.027629223327070726,0.027629223327070726,2.2939766363892748e-05,23479
auto_quantile_ratio_0.25_30_processed,0.027525568373615323,0.027525568373615323,2.461745429170142e-05,23479
auto_quantile_ratio_0.25_30_1_processed,0.027525568373615323,0.027525568373615323,2.461745429170142e-05,23479
obv_processed,-0.026492748387326723,0.026492748387326723,4.908473536375838e-05,23479
macd_signal_processed,-0.02620195795683971,0.02620195795683971,5.935397376193351e-05,23479
auto_amount_ma_60_processed,-0.025765646483675228,0.025765646483675228,7.864935764703576e-05,23479
auto_amount_ma_60_1_processed,-0.025765646483675228,0.025765646483675228,7.864935764703576e-05,23479
auto_quantile_ratio_0.1_30_processed,0.025480261641620632,0.025480261641620632,9.433043321340738e-05,23479
auto_quantile_ratio_0.1_30_1_processed,0.025480261641620632,0.025480261641620632,9.433043321340738e-05,23479
auto_close_log_return_10_1_processed,0.025365484192089737,0.025365484192089737,0.00010143403204041961,23479
auto_close_log_return_10_processed,0.025365484192089737,0.025365484192089737,0.00010143403204041961,23479
auto_close_ratio_10_1_processed,0.025358147204720485,0.025358147204720485,0.0001019048760233569,23479
auto_close_ratio_10_processed,0.025358147204720485,0.025358147204720485,0.0001019048760233569,23479
auto_body_ratio_auto_processed,0.024404374602118865,0.024404374602118865,0.00018416256248643813,23479
auto_body_ratio_auto_1_processed,0.024404374602118865,0.024404374602118865,0.00018416256248643813,23479
auto_quantile_0.1_60_processed,-0.02415022117006753,0.02415022117006753,0.00021488104334670022,23479
auto_quantile_0.1_60_1_processed,-0.02415022117006753,0.02415022117006753,0.00021488104334670022,23479
auto_close_log_return_20_1_processed,0.023928182699209117,0.023928182699209117,0.000245593809345972,23479
auto_close_log_return_20_processed,0.023928182699209117,0.023928182699209117,0.000245593809345972,23479
log_amount_processed,-0.023902712631155117,0.023902712631155117,0.0002493689227620817,23479
auto_close_ratio_20_processed,0.02384161223095743,0.02384161223095743,0.0002586481205602811,23479
auto_close_ratio_20_1_processed,0.02384161223095743,0.02384161223095743,0.0002586481205602811,23479
auto_open_ratio_10_processed,0.022758439185815618,0.022758439185815618,0.00048754163583335426,23479
auto_open_ratio_10_1_processed,0.022758439185815618,0.022758439185815618,0.00048754163583335426,23479
ma_dev_60_processed,0.022742840392672332,0.022742840392672332,0.00049191913735719,23479
auto_open_log_return_10_processed,0.022667891145552444,0.022667891145552444,0.0005134679807942253,23479
auto_open_log_return_10_1_processed,0.022667891145552444,0.022667891145552444,0.0005134679807942253,23479
macd_processed,-0.0217294238160094,0.0217294238160094,0.0008691314191414585,23479
auto_kurtosis_30_processed,0.02119229088034949,0.02119229088034949,0.0011644143015207158,23479
auto_kurtosis_30_1_processed,0.02119229088034949,0.02119229088034949,0.0011644143015207158,23479
auto_std_30_processed,-0.020848038492461963,0.020848038492461963,0.001399798533233105,23479
auto_std_30_1_processed,-0.020848038492461963,0.020848038492461963,0.001399798533233105,23479
body_ratio_processed,0.02078873854459463,0.02078873854459463,0.001444523363516238,23479
auto_high_ratio_10_1_processed,0.01999683383248496,0.01999683383248496,0.0021823118589033826,23479
auto_high_ratio_10_processed,0.01999683383248496,0.01999683383248496,0.0021823118589033826,23479
auto_high_log_return_10_processed,0.01988663453685982,0.01988663453685982,0.0023087639403269844,23479
auto_high_log_return_10_1_processed,0.01988663453685982,0.01988663453685982,0.0023087639403269844,23479
auto_volume_ma_10_processed,0.01949765005835943,0.01949765005835943,0.002810648095215846,23479
