,auto_kurtosis_20,hist_vol_60,auto_volatility_20,hist_vol_20,auto_volatility_60,auto_std_60_1,auto_amount_ma_30,auto_open_ratio_60,auto_quantile_0.75_30,auto_amount_ma_60,auto_skew_30_1,auto_kurtosis_20_1,auto_volatility_20_1,auto_volatility_60_1,auto_std_60,auto_amount_ma_30_1,auto_open_ratio_60_1,auto_open_log_return_60,auto_open_log_return_60_1,auto_quantile_0.75_30_1
2024-04-03,-0.0022146644510335645,-0.07326260974486291,-0.03842198178398066,-0.06853787946773604,-0.002459723011662647,-0.001279950320146189,-5.743161407311625e-09,-0.002136799471599426,-3.059442989023428e-05,-7.082333019899011e-09,-0.005115891321826407,-0.0022146644510335645,-0.03842198178398066,-0.002459723011662647,-0.001279950320146189,-5.743161407311625e-09,-0.002136799471599426,-0.0050927831688039925,-0.0050927831688039925,-3.059442989023428e-05
2024-04-08,-0.000861847939488267,-0.10909295527712398,-0.036238863744575384,-0.06737775954955916,-0.013019565476155742,-0.00276278324925655,9.000563130838763e-09,-0.002304691027309261,-0.0002539439477075558,1.7916618493736964e-09,0.0008043203441015142,-0.000861847939488267,-0.036238863744575384,-0.013019565476155742,-0.00276278324925655,9.000563130838763e-09,-0.002304691027309261,0.00017279368535448055,0.00017279368535448055,-0.0002539439477075558
2024-04-09,0.0001723514769287799,0.02820906803195291,0.0075982880728472785,0.01073667148237781,0.002683456226773428,-0.0008566042519855948,-1.3775616945999488e-08,-0.0037073678758091444,-0.00011449241049775268,-7.427088303703319e-09,0.0026387441657087824,0.0001723514769287799,0.0075982880728472785,0.002683456226773428,-0.0008566042519855948,-1.3775616945999488e-08,-0.0037073678758091444,-0.004377094109494381,-0.004377094109494381,-0.00011449241049775268
2024-04-10,0.0012369231746349903,-0.11003961028251123,-0.020618174500239807,-0.0897161609978582,-0.0321066003203738,-0.0010799404276535852,-5.797693649463297e-09,-0.009022323597059139,-5.9594417895193844e-05,4.983308982713529e-09,0.0020794786285679863,0.0012369231746349903,-0.020618174500239807,-0.0321066003203738,-0.0010799404276535852,-5.797693649463297e-09,-0.009022323597059139,-0.006054651634046559,-0.006054651634046559,-5.9594417895193844e-05
2024-04-11,-0.0018009986052962938,-0.019856087176770336,-0.024675525803314186,-0.030312262025473543,-0.016456413805590365,-0.0011942542668955526,3.331978118583463e-10,-6.319789727540175e-05,-0.00012610168686589182,3.4268899491783192e-09,-0.001188982535356675,-0.0018009986052962938,-0.024675525803314186,-0.016456413805590365,-0.0011942542668955526,3.331978118583463e-10,-6.319789727540175e-05,0.007591937152850682,0.007591937152850682,-0.00012610168686589182
2024-04-12,-0.0003271287393539011,-0.009591378891056818,-0.019115603620089346,-0.022192682021714077,0.0018920829583542438,0.001178098978617168,3.099242127986209e-09,0.003806678467110131,0.00013668681155737728,-3.957929950951141e-09,-0.0023603522454951264,-0.0003271287393539011,-0.019115603620089346,0.0018920829583542438,0.001178098978617168,3.099242127986209e-09,0.003806678467110131,0.005549753146190882,0.005549753146190882,0.00013668681155737728
2024-04-15,-0.0024830861554315646,-0.13734203410083567,-0.05727044765136094,-0.12867411361076334,-0.0772878218055977,7.376604288305896e-05,2.174262513573039e-08,0.09812071008392423,0.00019773114106796241,2.5624428284566822e-08,0.003583045321305211,-0.0024830861554315646,-0.05727044765136094,-0.0772878218055977,7.376604288305896e-05,2.174262513573039e-08,0.09812071008392423,0.09552094868832137,0.09552094868832137,0.00019773114106796241
2024-04-16,0.004061465047209993,-0.17094770738808154,-0.12120983902580282,-0.16752230499695164,-0.1024218226409131,-0.0006307794782023531,1.0502461062652597e-08,0.10010336587827302,0.00016028782278545436,1.5491347932688745e-08,0.007952488324462563,0.004061465047209993,-0.12120983902580282,-0.1024218226409131,-0.0006307794782023531,1.0502461062652597e-08,0.10010336587827302,0.09229396756673179,0.09229396756673179,0.00016028782278545436
2024-04-17,-0.001774524015106045,0.139387574503171,0.0265192763582026,0.1472461622030037,0.02178717126418237,0.00017473706892184382,-1.608104769783468e-08,-0.07854342484123332,-0.0001293740578876312,-2.0177461907935067e-08,-0.001997000723056046,-0.001774524015106045,0.0265192763582026,0.02178717126418237,0.00017473706892184382,-1.608104769783468e-08,-0.07854342484123332,-0.06755988022437043,-0.06755988022437043,-0.0001293740578876312
2024-04-18,-5.5062956616309376e-05,0.018414206011726365,0.0027532771938013185,0.008325053528015677,-0.007013581590114438,0.0013517950649480969,8.322619832310319e-09,0.006376728889409909,5.656748774155537e-05,6.871658134126769e-09,0.00036808874797489424,-5.5062956616309376e-05,0.0027532771938013185,-0.007013581590114438,0.0013517950649480969,8.322619832310319e-09,0.006376728889409909,0.006879940550282312,0.006879940550282312,5.656748774155537e-05
2024-04-19,0.0008109509728455222,-0.036629247952340696,-0.01204398404742919,-0.027986470566268698,-0.020764512533432793,-0.002445952846255574,-1.3168256145089612e-08,0.007925098929609995,-0.00013086781747229673,-1.0630689141351002e-08,-0.001433303529972608,0.0008109509728455222,-0.01204398404742919,-0.020764512533432793,-0.002445952846255574,-1.3168256145089612e-08,0.007925098929609995,0.009308544155480136,0.009308544155480136,-0.00013086781747229673
2024-04-22,-0.0002967786687946549,-0.02087512471205044,-0.001938106975625413,-0.011589692885746324,-0.0129137880670902,0.001902488579619025,-4.506394651703092e-10,0.0298001996349431,0.0001639946482743655,3.676103206338062e-09,0.004045374311600608,-0.0002967786687946549,-0.001938106975625413,-0.0129137880670902,0.001902488579619025,-4.506394651703092e-10,0.0298001996349431,0.026749922464581542,0.026749922464581542,0.0001639946482743655
2024-04-23,0.0004116570704172703,0.07711217780055545,0.013795334147956015,0.07403257501908533,0.027523159990126323,0.002728732386725693,-1.684719831592779e-08,-0.0678525655482177,0.00019721396192883475,-1.813861513352011e-08,-0.006247982540688155,0.0004116570704172703,0.013795334147956015,0.027523159990126323,0.002728732386725693,-1.684719831592779e-08,-0.0678525655482177,-0.06080683646478578,-0.06080683646478578,0.00019721396192883475
2024-04-24,-0.0011032581842465305,0.06720174775664509,0.0027908633600632125,0.042401526057864174,0.013052630598729773,0.0018556179181607178,3.1854293817195254e-10,-0.004365334393227828,0.00010620613050829587,-3.112674102333839e-09,-0.0037155010410275685,-0.0011032581842465305,0.0027908633600632125,0.013052630598729773,0.0018556179181607178,3.1854293817195254e-10,-0.004365334393227828,-0.004620039170979741,-0.004620039170979741,0.00010620613050829587
2024-04-25,-0.0004036584237666328,0.033540680755310415,0.009022073023419208,0.03259394302831965,0.0017094911018720887,2.7928009163817953e-05,-2.403856553796402e-09,-0.04074877721156687,-0.0001052722691999277,-4.754438689818148e-09,-0.0033886546640223988,-0.0004036584237666328,0.009022073023419208,0.0017094911018720887,2.7928009163817953e-05,-2.403856553796402e-09,-0.04074877721156687,-0.03775358839901215,-0.03775358839901215,-0.0001052722691999277
2024-04-26,-0.0019322169880937965,0.02362957854196089,-0.015454264698447179,0.009087375824683504,-0.0033606713404579895,0.004161412013135322,1.6823155786725205e-08,0.012387807177438563,0.0003526126558211395,1.3720119245115107e-08,-0.0020668068863302714,-0.0019322169880937965,-0.015454264698447179,-0.0033606713404579895,0.004161412013135322,1.6823155786725205e-08,0.012387807177438563,0.012449919323487725,0.012449919323487725,0.0003526126558211395
2024-04-29,-0.001382243080459089,0.05440130556708547,0.003724552421327973,0.0488381404873455,0.010542645394017872,-0.0016145572370974423,-1.1978449061334503e-08,-0.04323315098487295,-0.0001804992649361461,-1.1547632582480388e-08,-0.003452589723810884,-0.001382243080459089,0.003724552421327973,0.010542645394017872,-0.0016145572370974423,-1.1978449061334503e-08,-0.04323315098487295,-0.03858754455931019,-0.03858754455931019,-0.0001804992649361461
2024-04-30,-3.722484320478193e-05,-0.04723330672439259,-0.03409310303431037,-0.048474111795650025,-0.03061052787755833,0.0009537079675652983,-3.6260262112500577e-09,0.01502303133137307,0.00014288461226352614,-4.3129563442326085e-09,-0.003038251280857035,-3.722484320478193e-05,-0.03409310303431037,-0.03061052787755833,0.0009537079675652983,-3.6260262112500577e-09,0.01502303133137307,0.015535140364624576,0.015535140364624576,0.00014288461226352614
2024-05-06,0.0025188178367746227,0.007590514563230987,0.0319779497905777,0.025295828614011397,0.021153714918331425,5.297561102607063e-05,-7.284767136626608e-09,0.0052107456410177,4.6531129028216936e-05,-7.544196158479142e-09,0.007257532998682006,0.0025188178367746227,0.0319779497905777,0.021153714918331425,5.297561102607063e-05,-7.284767136626608e-09,0.0052107456410177,0.006375870966072956,0.006375870966072956,4.6531129028216936e-05
2024-05-07,0.00032246290317364723,0.017190049260544474,0.006745486689697766,0.01521704473630074,0.006704121521020133,2.9794447180096602e-05,-9.867717323111726e-09,-0.01917770064926057,5.771003829815163e-06,-8.388029934713061e-09,0.0017910702923182018,0.00032246290317364723,0.006745486689697766,0.006704121521020133,2.9794447180096602e-05,-9.867717323111726e-09,-0.01917770064926057,-0.01486921141428391,-0.01486921141428391,5.771003829815163e-06
2024-05-08,-9.329649270368053e-05,-0.03119537071688056,-0.015989073522294367,-0.02337522517678692,-0.0045926001537519665,-0.000357963040210788,2.7015970567000308e-09,0.029971588283752904,-8.113046470863782e-06,2.5844605430240895e-09,0.003435718084799773,-9.329649270368053e-05,-0.015989073522294367,-0.0045926001537519665,-0.000357963040210788,2.7015970567000308e-09,0.029971588283752904,0.030312241397232004,0.030312241397232004,-8.113046470863782e-06
