factor,ic,ic_abs,ir,monotonicity,ic_win_rate,coverage,n_obs,ic_score,ir_score,mono_score,win_rate_score,coverage_score,composite_score
auto_low_ratio_60_1_processed,-0.054113239845463096,0.054113239845463096,-0.41841424102751146,-0.8999999999999998,0.6749999915625001,1.0,23479,0.5239656792928091,0.5452392406128884,0.8999991000008999,0.6749999915625001,1.0,0.6985510487109794
auto_low_ratio_60_processed,-0.054113239845463096,0.054113239845463096,-0.41841424102751146,-0.8999999999999998,0.6749999915625001,1.0,23479,0.5239656792928091,0.5452392406128884,0.8999991000008999,0.6749999915625001,1.0,0.6985510487109794
auto_close_ratio_60_1_processed,-0.05091041785920128,0.05091041785920128,-0.4846661473649895,-0.9999999999999999,0.6749999915625001,1.0,23479,0.47360727234969063,0.508210351269092,0.999999000001,0.6749999915625001,1.0,0.6967042046392707
auto_close_ratio_60_processed,-0.05091041785920128,0.05091041785920128,-0.4846661473649895,-0.9999999999999999,0.6749999915625001,1.0,23479,0.47360727234969063,0.508210351269092,0.999999000001,0.6749999915625001,1.0,0.6967042046392707
auto_low_log_return_60_processed,-0.053767853688112696,0.053767853688112696,-0.42895145999125733,-0.8999999999999998,0.6749999915625001,1.0,23479,0.5185351256313889,0.5393498777768612,0.8999991000008999,0.6749999915625001,1.0,0.6957210695866175
auto_low_log_return_60_1_processed,-0.053767853688112696,0.053767853688112696,-0.42895145999125733,-0.8999999999999998,0.6749999915625001,1.0,23479,0.5185351256313889,0.5393498777768612,0.8999991000008999,0.6749999915625001,1.0,0.6957210695866175
auto_quantile_0.25_20_processed,-0.031216357542131156,0.031216357542131156,0.18663213937859544,-0.8999999999999998,0.6749999915625001,1.0,23479,0.16395487578709658,0.883406045259964,0.8999991000008999,0.6749999915625001,1.0,0.6930900489963202
auto_quantile_0.25_20_1_processed,-0.031216357542131156,0.031216357542131156,0.18663213937859544,-0.8999999999999998,0.6749999915625001,1.0,23479,0.16395487578709658,0.883406045259964,0.8999991000008999,0.6749999915625001,1.0,0.6930900489963202
auto_quantile_0.1_60_processed,-0.02415022117006753,0.02415022117006753,0.22752056444587027,-0.9999999999999999,0.6749999915625001,1.0,23479,0.052853049814161265,0.9062590173623192,0.999999000001,0.6749999915625001,1.0,0.6910278155286952
auto_quantile_0.1_60_1_processed,-0.02415022117006753,0.02415022117006753,0.22752056444587027,-0.9999999999999999,0.6749999915625001,1.0,23479,0.052853049814161265,0.9062590173623192,0.999999000001,0.6749999915625001,1.0,0.6910278155286952
auto_quantile_0.9_10_1_processed,-0.031859848634792506,0.031859848634792506,-0.000808374685275204,-0.9999999999999999,0.6749999915625001,1.0,23479,0.17407257400682627,0.7786435646384957,0.999999000001,0.6749999915625001,1.0,0.6894288333959055
auto_quantile_0.9_10_processed,-0.031859848634792506,0.031859848634792506,-0.000808374685275204,-0.9999999999999999,0.6749999915625001,1.0,23479,0.17407257400682627,0.7786435646384957,0.999999000001,0.6749999915625001,1.0,0.6894288333959055
auto_ma_60_processed,-0.02984800570359864,0.02984800570359864,0.18238495768842,-0.8999999999999998,0.6749999915625001,1.0,23479,0.14244009319169826,0.8810322506097784,0.8999991000008999,0.6749999915625001,1.0,0.6871179046849242
auto_ma_60_1_processed,-0.02984800570359864,0.02984800570359864,0.18238495768842,-0.8999999999999998,0.6749999915625001,1.0,23479,0.14244009319169826,0.8810322506097784,0.8999991000008999,0.6749999915625001,1.0,0.6871179046849242
auto_quantile_0.75_20_1_processed,-0.028915264676351412,0.028915264676351412,0.20138534870572264,-0.8999999999999998,0.6749999915625001,1.0,23479,0.12777447879784892,0.8916517695845941,0.8999991000008999,0.6749999915625001,1.0,0.6861063808301658
