date,total_value,cash
2021-06-24,1989345.6936239619,27420.645866963125
2021-06-25,1925229.7670751999,23414.707950632892
2021-06-28,1998744.6247616492,21793.898944010376
2021-06-29,1960172.446945192,20824.727847539012
2021-06-30,1709321.9135236084,18381.043080027408
2021-07-01,1627233.8931142616,17849.45819141006
2021-07-02,1586922.1564433654,17710.702214339788
2021-07-05,1676614.1528984623,17463.931906151225
2021-07-06,1472398.802428724,16853.556575351224
2021-07-07,808070.7720254867,15566.78932951611
2021-07-08,789989.3079296083,16023.101275997862
2021-07-09,785988.0537429592,26924.167446744937
2021-07-12,808520.8094149646,24953.85427185148
2021-07-13,799307.4844056565,21829.17685812034
2021-07-14,780560.1989584824,21078.092563599792
2021-07-15,734054.2745975306,50694.0527365193
2021-07-16,724748.3595473495,42572.22420780321
2021-07-19,655417.4612158159,40590.3693794351
2021-07-20,635397.2054130795,35833.65147954568
2021-07-21,644710.3997477819,32317.03058426063
2021-07-22,654897.2124387886,31536.92259467979
2021-07-23,636062.8720329321,31082.674336155345
2021-07-26,597422.1913313433,69795.63384189444
2021-07-27,563406.2487114966,65437.575945242774
2021-07-28,525159.2857190348,61512.8988836229
2021-07-29,526732.8268212953,39079.54707096294
2021-07-30,524639.4614179254,39559.312493125464
2021-08-02,524217.6290595362,32453.29691147203
2021-08-03,492120.05368617317,27916.177638629066
2021-08-04,494216.8754925705,25464.80095875598
2021-08-05,478922.0979441688,26969.260079126885
2021-08-06,469056.05077298044,24233.448097762936
2021-08-09,487753.3723836766,22680.92202931185
2021-08-10,497846.9426398014,22052.828696199267
2021-08-11,494001.40342595265,22052.828696199267
2021-08-12,493186.7750571836,22052.828696199267
2021-08-13,478964.3457129853,21982.738805841032
2021-08-16,479057.7834429332,21471.38260366712
2021-08-17,458501.55164466973,20463.297832849406
2021-08-18,483024.145354887,20463.297832849406
2021-08-19,474782.118788036,23003.90719733099
2021-08-20,466993.61143973604,22227.943566148915
2021-08-23,472340.6205597581,22227.943566148915
2021-08-24,468803.1954831061,21846.11965761649
2021-08-25,461783.18142732134,21448.72488676222
2021-08-26,460387.3867040851,21066.711307254023
2021-08-27,448826.8550986213,21066.711307254023
2021-08-30,441841.28910665517,21066.711307254023
2021-08-31,458758.072563205,21066.711307254023
2021-09-01,480018.30767203995,21066.711307254023
2021-09-02,483675.62637912325,21066.711307254023
2021-09-03,360972.89597623097,21066.711307254023
2021-09-06,361314.24881639576,21066.711307254023
2021-09-07,296328.2088457529,21066.711307254023
2021-09-08,298759.3277775741,21066.711307254023
2021-09-09,299531.25302358804,21066.711307254023
2021-09-10,288820.06685075036,21066.711307254023
2021-09-13,299614.5849078943,22839.149542160863
2021-09-14,291327.7525568421,22839.149542160863
2021-09-15,296036.4425731637,22839.149542160863
2021-09-16,299156.9638898486,22839.149542160863
2021-09-17,287549.6109481479,22839.149542160863
2021-09-22,276420.23426155216,22839.149542160863
2021-09-23,291095.4437467555,22539.07521370898
2021-09-24,272118.92119094287,25285.528950522184
2021-09-27,250216.18343393045,63726.70190402415
2021-09-28,238372.4609183931,46223.69936194941
2021-09-29,222788.9539532833,45327.29808210535
2021-09-30,215094.13571966614,38828.31601874012
2021-10-08,207943.34252835842,33893.33870658754
2021-10-11,199164.30761107063,29732.559791380892
2021-10-12,191779.8384132092,29989.90325711252
2021-10-13,188367.45974058995,29124.898255501445
2021-10-14,190624.6591923337,27494.035356984834
2021-10-15,185332.56828565995,28412.639040032092
2021-10-18,182653.40152584115,28412.639040032092
2021-10-19,181526.37358253592,28941.57648525385
2021-10-20,178764.04368193736,28047.56161204861
2021-10-21,174778.09519634486,28047.56161204861
2021-10-22,170441.02602211552,29288.537680796995
2021-10-25,165026.5976381044,29288.537680796995
2021-10-26,163390.64993454563,28988.121087260453
2021-10-27,155724.31209805346,29090.22261007528
2021-10-28,149891.09505976632,30637.35895629413
2021-10-29,150696.73269669598,30280.93021372576
2021-11-01,152061.80354551188,29518.75636628976
2021-11-02,146253.39105506285,29583.475275395296
2021-11-03,146373.82234197002,28931.140148390034
2021-11-04,148110.64589685271,28931.140148390034
2021-11-05,146893.9303910422,28931.140148390034
2021-11-08,147441.00735192918,28931.140148390034
2021-11-09,149067.08428267384,28500.803131802357
2021-11-10,150510.7320115509,28500.803131802357
2021-11-11,151422.89096753043,28500.803131802357
2021-11-12,151099.64427011836,28022.854604605705
2021-11-15,149383.26221039201,28022.854604605705
2021-11-16,149271.21981564487,28022.854604605705
2021-11-17,147188.4345610274,28022.854604605705
2021-11-18,144744.75433916642,27636.936950230705
2021-11-19,146525.03863788885,27636.936950230705
2021-11-22,144634.16920113566,27636.936950230705
2021-11-23,146014.90558127966,27155.617241052623
2021-11-24,141191.48860252363,26506.520527724442
2021-11-25,141284.03160088102,26506.520527724442
2021-11-26,142059.25482190904,26506.520527724442
2021-11-29,138594.65987111404,28300.6709050606
2021-11-30,138695.3599874826,28300.6709050606
2021-12-01,140072.7539414427,28300.6709050606
2021-12-02,137703.60741591325,28300.6709050606
2021-12-03,139458.14462168468,28300.6709050606
2021-12-06,136866.26832609563,28300.6709050606
2021-12-07,136861.24627613675,27919.67221785681
2021-12-08,120388.0412933766,27919.67221785681
2021-12-09,120649.4383654399,27919.67221785681
2021-12-10,119519.72598083208,27919.67221785681
2021-12-13,117464.89727443966,27919.67221785681
2021-12-14,118937.15149279608,27919.67221785681
2021-12-15,119136.85074400777,27919.67221785681
2021-12-16,119107.70073832177,27919.67221785681
2021-12-17,118397.02283513438,27622.34522703112
2021-12-20,113486.8077015993,27622.34522703112
2021-12-21,114884.89795605803,27622.34522703112
2021-12-22,116643.05258140192,27201.206098159986
2021-12-23,115404.05462923733,27201.206098159986
2021-12-24,111519.90659122622,26894.790215659985
2021-12-27,112747.85648008517,26727.252218718088
2021-12-28,112865.67247729498,26727.252218718088
2021-12-29,113778.48009023418,26474.128022251658
2021-12-30,116886.30331520438,26474.128022251658
2021-12-31,120216.86454722895,26474.128022251658
2022-01-04,124542.47795555307,26474.128022251658
2022-01-05,124858.56649875671,26474.128022251658
2022-01-06,122621.45334403473,26474.128022251658
2022-01-07,118920.40627201495,26221.22490333274
2022-01-10,123541.31261925444,26034.896527504923
2022-01-11,119180.37883924824,26034.896527504923
2022-01-12,119896.25995890916,26034.896527504923
2022-01-13,121453.98408794546,26034.896527504923
2022-01-14,117726.53529152014,26034.896527504923
2022-01-17,123055.08074378123,26034.896527504923
2022-01-18,120212.23095267624,26034.896527504923
2022-01-19,120895.55064581418,26034.896527504923
2022-01-20,116911.98035700047,26034.896527504923
2022-01-21,114019.49098331656,32102.97664201938
2022-01-24,113478.56765360924,31162.61101251311
2022-01-25,107540.24606918245,30320.511568738188
2022-01-26,105182.13153521539,30145.959203738188
2022-01-27,98875.49363659923,30145.959203738188
2022-01-28,96565.86313834152,30145.959203738188
2022-02-07,93131.82565058136,30038.651658815343
2022-02-08,90632.2380910696,30038.651658815343
2022-02-09,91883.12288711996,29757.62521775574
2022-02-10,92922.83447432132,29609.38697435574
2022-02-11,90573.58446950951,29609.38697435574
2022-02-14,85861.35204585358,29609.38697435574
2022-02-15,85373.97680778988,29418.661106160023
2022-02-16,85375.7880151023,29418.661106160023
2022-02-17,82639.36253292633,29418.661106160023
2022-02-18,84189.06558991586,29418.661106160023
2022-02-21,85487.69729113686,29418.661106160023
2022-02-22,80298.5371811002,28914.74719769317
2022-02-23,79069.01143430913,28914.74719769317
2022-02-24,75582.5522530783,28914.74719769317
2022-02-25,75782.66857532688,28914.74719769317
2022-02-28,77004.27411713598,28914.74719769317
2022-03-01,77808.29159513526,29086.52559658349
2022-03-02,78017.448015117,28905.635069486718
2022-03-03,61550.661227952805,28905.635069486718
2022-03-04,60214.2834970345,28905.635069486718
2022-03-07,58376.309803068405,28905.635069486718
2022-03-08,55740.91304890713,29021.027701916824
2022-03-09,53643.8412182468,28774.45556417489
2022-03-10,54844.947151464956,28501.762852699478
2022-03-11,55486.404767057276,28501.762852699478
2022-03-14,53772.04349956477,28501.762852699478
2022-03-15,50455.85499168434,29744.30432570251
2022-03-16,51363.317317295514,28444.550344120136
2022-03-17,52284.15426847935,28444.550344120136
2022-03-18,52547.715943456446,28444.550344120136
2022-03-21,52157.628105334305,28444.550344120136
2022-03-22,52118.074660229424,28444.550344120136
2022-03-23,52237.75865099368,28444.550344120136
2022-03-24,50458.65834324287,28444.550344120136
2022-03-25,49822.272910348125,28310.307828636265
2022-03-28,49433.822764936114,28310.307828636265
2022-03-29,48772.674722833624,28310.307828636265
2022-03-30,48972.23304169288,28310.307828636265
2022-03-31,49694.78829522562,28096.86372929852
2022-04-01,50052.09017483354,28289.996937245538
2022-04-06,51051.02327116534,27874.210720247745
2022-04-07,49262.15301549524,27874.210720247745
2022-04-08,48554.269270558,27874.210720247745
2022-04-11,46758.40061684115,27874.210720247745
2022-04-12,47375.89483276676,27822.626402751772
2022-04-13,46081.623738787996,27822.626402751772
2022-04-14,45550.039825012675,27661.324737188857
2022-04-15,44408.51085610854,27442.0824472806
2022-04-18,43730.93918688005,27235.477350107456
2022-04-19,43716.30067685662,27235.477350107456
2022-04-20,42995.17041452137,27235.477350107456
2022-04-21,41542.40762579202,26558.681650018687
2022-04-22,41304.161929499685,26513.944743607517
2022-04-25,39298.141855205555,25448.950761986514
2022-04-26,38346.79950009538,24154.26797663607
2022-04-27,38691.05107852966,23564.129421970567
2022-04-28,38242.423071076,23775.88205761413
2022-04-29,35500.49424247678,24086.092111039863
2022-05-05,30983.50362932052,23713.143342691237
2022-05-06,30729.267293381145,23929.618302089693
2022-05-09,30877.976668145286,23612.964468374776
2022-05-10,30965.45264753473,23359.392988178235
2022-05-11,30954.33494490083,23167.30435637907
2022-05-12,30770.526357749455,23167.30435637907
2022-05-13,30683.832993338394,23031.62460406119
2022-05-16,30728.790991219063,23031.62460406119
2022-05-17,30527.938513312285,23031.62460406119
2022-05-18,30616.73376260836,23031.62460406119
2022-05-19,30437.820338981062,23031.62460406119
2022-05-20,30477.85336298214,23031.62460406119
2022-05-23,30727.687168815835,23031.62460406119
2022-05-24,29850.61810527998,22835.310092735224
2022-05-25,30106.40380173842,22835.310092735224
2022-05-26,30324.166922405075,22835.310092735224
2022-05-27,30153.297317364937,22835.310092735224
2022-05-30,30310.18271494518,22835.310092735224
2022-05-31,30588.949890463216,22835.310092735224
2022-06-01,30699.911064983924,22914.118728480258
2022-06-02,30670.956932635367,22751.56254967231
2022-06-06,30795.403637873962,22751.56254967231
2022-06-07,30613.536620675946,22751.56254967231
2022-06-08,30283.124193182997,23037.545800120362
2022-06-09,29982.33269091597,23037.545800120362
2022-06-10,30117.240457760938,22921.366820650164
2022-06-13,29926.852882144794,22921.366820650164
2022-06-14,29953.67996894761,22921.366820650164
2022-06-15,30084.919883756334,22921.366820650164
2022-06-16,30246.272908025443,23041.970791008058
2022-06-17,28577.272230971525,23041.970791008058
2022-06-20,28634.855704684032,23041.970791008058
2022-06-21,28586.481542034635,23041.970791008058
2022-06-22,28347.29322568679,22911.57933703455
2022-06-23,28476.046308764267,22911.57933703455
2022-06-24,28566.000953330025,22911.57933703455
2022-06-27,28633.16341793105,22911.57933703455
2022-06-28,28903.282705054717,22911.57933703455
2022-06-29,28783.437309446883,22911.57933703455
2022-06-30,28853.52525261796,22911.57933703455
2022-07-01,28800.0600865404,23359.20666074786
2022-07-04,28710.776665293663,23359.20666074786
2022-07-05,28554.81266019914,23359.20666074786
2022-07-06,28368.596930785894,23359.20666074786
2022-07-07,28360.250746842547,23359.20666074786
2022-07-08,28447.273632686152,23359.20666074786
2022-07-11,28257.2439996355,23359.20666074786
2022-07-12,27873.1569530674,23359.20666074786
2022-07-13,27924.18712345036,23359.20666074786
2022-07-14,28004.948780659717,23181.886397632283
2022-07-15,27809.60661158927,23310.254138280437
2022-07-18,27917.589333593332,23310.254138280437
2022-07-19,28034.712665478633,23172.383970538503
2022-07-20,28147.790592461846,23004.701419545127
2022-07-21,28051.270693817398,23004.701419545127
2022-07-22,27842.838968040403,23004.701419545127
2022-07-25,27788.50126185609,23004.701419545127
2022-07-26,27574.02885181319,23004.701419545127
2022-07-27,27709.48461675527,22848.501596753606
2022-07-28,27799.78067963508,22848.501596753606
2022-07-29,27601.991935745322,22848.501596753606
2022-08-01,27528.471953308548,22698.096162237478
2022-08-02,26759.008952619595,22286.6594235434
2022-08-03,26585.54426186378,22286.6594235434
2022-08-04,26468.278265568177,22286.6594235434
2022-08-05,26499.685100232316,22286.6594235434
2022-08-08,26513.68057806381,22124.609549338453
2022-08-09,26450.09717914404,22124.609549338453
2022-08-10,26366.677311338106,22002.531594371565
2022-08-11,25947.787116348405,22002.531594371565
2022-08-12,26081.236766867576,22002.531594371565
2022-08-15,26047.372572841025,22002.531594371565
2022-08-16,26023.684104618114,22002.531594371565
2022-08-17,26084.02380624203,22002.531594371565
2022-08-18,25913.89285882459,22002.531594371565
2022-08-19,25751.045924841586,22002.531594371565
2022-08-22,25899.703978495156,22002.531594371565
2022-08-23,25353.100099405536,22002.531594371565
2022-08-24,25147.819725705267,21839.698570500597
2022-08-25,24926.2532279756,21839.698570500597
2022-08-26,24908.98716153078,21839.698570500597
2022-08-29,24844.05012865952,21839.698570500597
2022-08-30,24890.420018430923,21839.698570500597
