date,nav
2021-12-24,191122025.3232168
2021-12-27,192177022.90417564
2021-12-28,192298649.44766247
2021-12-29,191590707.7459079
2021-12-30,193498674.085374
2021-12-31,199080772.3102214
2022-01-04,206839310.53973722
2022-01-05,202616952.35519832
2022-01-06,204956065.0995702
2022-01-07,196235248.30857003
2022-01-10,200629493.40211707
2022-01-11,200564484.8055162
2022-01-12,202233630.04159826
2022-01-13,198004294.6143873
2022-01-14,192697751.33516687
2022-01-17,196417162.7628985
2022-01-18,195935912.9936639
2022-01-19,190234610.44970688
2022-01-20,188110591.91098
2022-01-21,189224963.1596111
2022-01-24,191849744.2098978
2022-01-25,145796556.09881404
2022-01-26,144881847.43546098
2022-01-27,143294754.3533557
2022-01-28,177652814.15412572
2022-02-07,181933893.1834144
2022-02-08,179775179.94176507
2022-02-09,177568426.1423362
2022-02-10,181433674.9749214
2022-02-11,167506278.9102326
2022-02-14,166261888.2182588
2022-02-15,165853372.7686542
2022-02-16,171216413.99763194
2022-02-17,170973901.3450739
2022-02-18,171177130.210299
2022-02-21,171573606.9134178
2022-02-22,174039740.27109066
2022-02-23,180079724.94263119
2022-02-24,171909408.93087363
2022-02-25,174346595.8503527
2022-02-28,179787602.99053448
2022-03-01,181508018.0770103
2022-03-02,181166136.97393
2022-03-03,181759715.94601452
2022-03-04,174554513.427044
2022-03-07,174538980.30326313
2022-03-08,158943524.89363974
2022-03-09,160967789.04426926
2022-03-10,156093431.23027384
2022-03-11,154861835.66259998
2022-03-14,149610969.6770763
2022-03-15,147610827.70740622
2022-03-16,144286179.58430117
2022-03-17,153312719.14268076
2022-03-18,154520090.82117772
2022-03-21,155068857.849951
2022-03-22,149853466.23437488
2022-03-23,155051067.06751943
2022-03-24,147477437.28770807
2022-03-25,143354356.41385508
2022-03-28,147147530.13715532
2022-03-29,143187512.88394713
2022-03-30,144190524.0508581
2022-03-31,140164728.45936003
2022-04-01,140248440.57455298
2022-04-06,143611064.2264176
2022-04-07,140119107.5157497
2022-04-08,143984046.73248458
2022-04-11,132865274.26582325
2022-04-12,131512763.86783713
