date,total_value,cash
2020-09-21,24200706.557141017,1663.2606455598304
2020-09-22,22909905.75936497,5437.880590880943
2020-09-23,23445816.911602225,4999.486126717121
2020-09-24,21618738.109795164,10565.120806350733
2020-09-25,21233593.91283062,8763.76115121176
2020-09-28,19569962.09259617,6210.2979528445285
2020-09-29,16466503.773710879,2775.409979356505
2020-09-30,16578177.070096882,2775.409979356505
2020-10-09,18010577.6852574,2775.409979356505
2020-10-12,19204796.970922038,2775.409979356505
2020-10-13,19439518.31916183,2775.409979356505
2020-10-14,19734105.04861521,2775.409979356505
2020-10-15,17552357.31194729,5675.480854689839
2020-10-16,17424151.508236483,5675.480854689839
2020-10-19,17120870.108570483,8532.647646820722
2020-10-20,17403059.766169395,8532.647646820722
2020-10-21,18281004.18841144,8532.647646820722
2020-10-22,17886377.026635148,8532.647646820722
2020-10-23,15600522.766515497,62823.87268785833
2020-10-26,14823199.163308315,39199.16487956043
2020-10-27,15034096.496911677,26877.74476357566
2020-10-28,14367109.55811432,20785.063984468536
2020-10-29,11379656.58393292,17567.74709252542
2020-10-30,10935894.289175,18105.86602622169
2020-11-02,10428248.750425665,19737.098720008864
2020-11-03,10873993.530521113,13165.810266911009
2020-11-04,11175499.991677323,11058.907271643136
2020-11-05,11539338.894565498,11058.907271643136
2020-11-06,10932232.22862604,11136.843388111136
2020-11-09,11391958.091184018,10323.666532111136
2020-11-10,11337845.22299077,11625.038688405875
2020-11-11,9061910.347958982,10998.723895040945
2020-11-12,8860039.923568616,10058.578766405655
2020-11-13,8775180.487703297,9605.344442856167
2020-11-16,8634230.569642607,9605.344442856167
2020-11-17,8389275.122248324,10843.45296719295
2020-11-18,8227671.621366177,10843.45296719295
2020-11-19,8418697.462707093,10525.067539338279
2020-11-20,8449510.080460355,10525.067539338279
2020-11-23,8090641.813471176,10255.680686095959
2020-11-24,7885046.945003269,10255.680686095959
2020-11-25,7084313.198082409,9997.249304296796
2020-11-26,6810756.170359777,9970.623639557873
2020-11-27,6856522.03944911,9777.171176377957
2020-11-30,6781105.192834493,12989.379042279083
2020-12-01,7284596.233097815,12989.379042279083
2020-12-02,7279753.748384232,17912.779079685897
2020-12-03,7453680.523906993,17919.39857168185
2020-12-04,7476551.149040182,17515.53427264339
2020-12-07,7449972.2674679505,17013.576232442385
2020-12-08,7480579.686405317,17013.576232442385
2020-12-09,7094026.849653016,42307.2261131293
2020-12-10,7208156.8977262685,32628.486156303596
2020-12-11,6802132.231355913,34891.86605412397
2020-12-14,6837607.0468869135,32917.423402994675
2020-12-15,7042673.960596875,28254.024363803455
2020-12-16,7069249.756670855,42159.60608510359
2020-12-17,7489034.807850057,32909.99951000115
2020-12-18,7359473.80610225,26207.043073679426
2020-12-21,7058806.499112219,22327.2713302439
2020-12-22,6734892.491538741,24046.386931953086
2020-12-23,6520695.509542735,21037.382592576236
2020-12-24,6068467.279495972,18822.1513499727
2020-12-25,6663479.978514574,21187.174498244574
2020-12-28,6548330.245866412,17908.138223472663
2020-12-29,6631298.3428306,20392.52636355738
2020-12-30,6995751.116908516,18202.50221287898
2020-12-31,7534835.18436464,17612.861870478977
2021-01-04,7423496.801949823,16901.115082330525
2021-01-05,8184880.594437982,16317.713524518025
2021-01-06,8223176.959923499,16226.37934922581
2021-01-07,9360762.370476369,22987.755988907073
2021-01-08,9411496.221080968,19876.389103161582
2021-01-11,9699370.631349497,42999.27087827007
2021-01-12,9337873.203855379,31910.803176326426
2021-01-13,8912864.586799074,56246.3120529273
2021-01-14,8120790.48730823,20754.168269426234
2021-01-15,7898570.745969894,10425.142857526422
2021-01-18,9673267.315909563,8557.535286978473
2021-01-19,9969530.336428847,8112.5771323871895
2021-01-20,11661956.996923484,6799.704397092375
2021-01-21,11651984.04245622,6799.704397092375
2021-01-22,12067622.952882502,7450.7321566161845
2021-01-25,13323099.267674701,8237.4506297008
2021-01-26,12100285.206380874,9078.65363840704
2021-01-27,11349366.15902549,9597.265687916728
2021-01-28,10566243.709605232,17014.63381390181
2021-01-29,10676204.672595467,23762.927418914358
2021-02-01,11594397.006413475,26002.008969190403
2021-02-02,11961621.082636263,19981.731895351964
2021-02-03,13743078.630814333,18961.218737494954
2021-02-04,13865236.11156928,20275.42168932589
2021-02-05,14443464.939800156,32026.129024420014
2021-02-08,15291948.656684568,28359.999907692727
2021-02-09,17094013.741118282,22709.139109044198
2021-02-10,19037398.629796915,22709.139109044198
2021-02-18,15930228.969811853,20049.407515644092
2021-02-19,13537016.813340878,16897.579827395828
2021-02-22,12450918.99277957,14834.226024602112
2021-02-23,13288510.253306666,13566.143290831076
2021-02-24,12778713.286217967,13566.143290831076
2021-02-25,11892431.18442673,13566.143290831076
2021-02-26,10966737.263230005,13193.834370283928
2021-03-01,10478155.085484747,13193.834370283928
2021-03-02,9991388.476145884,12964.232555215434
2021-03-03,10206536.911547584,12266.269510252812
2021-03-04,8130696.444031569,11428.486799069933
2021-03-05,7860759.5357290665,11158.555790765435
2021-03-08,6993780.229510942,12257.797834342262
2021-03-09,6332821.497102602,16154.060309461993
2021-03-10,6758621.224061488,15429.715423551375
2021-03-11,7277381.697076507,15171.95539295927
2021-03-12,7529083.418572807,14890.263998495602
2021-03-15,6753896.862436828,14847.893861245602
2021-03-16,6781512.937549378,14847.893861245602
2021-03-17,7173683.5429610275,14847.893861245602
2021-03-18,8126878.209387729,14847.893861245602
2021-03-19,7667966.182445253,14847.893861245602
2021-03-22,7384068.979168545,14847.893861245602
2021-03-23,7782587.820661568,14770.978035290385
2021-03-24,6012192.823252896,43250.681792263
2021-03-25,5887974.63689681,21541.52891557617
2021-03-26,5880885.79203991,3430.058658372949
2021-03-29,5658298.270181519,2899.18763840708
2021-03-30,5407245.968442671,17252.25787823921
2021-03-31,5235274.954317654,15135.51117338791
2021-04-01,5055656.851176291,5957.730891056365
2021-04-02,4784810.751630774,4390.983469481512
2021-04-06,4767520.642117966,4081.537693165722
2021-04-07,4582045.502971273,4081.537693165722
2021-04-08,4524237.74752469,4385.82100061967
2021-04-09,4528076.434130181,4385.82100061967
2021-04-12,4415120.728219064,40701.69582130255
2021-04-13,4284196.467950088,28492.900201783134
2021-04-14,4036863.720749475,10393.712146807477
2021-04-15,3930321.46629718,11977.163605370351
2021-04-16,4035009.2505684225,8950.93360903998
2021-04-19,4125637.5447777626,7867.784780792362
2021-04-20,4079841.3380537666,7066.807762747514
2021-04-21,3779543.174337921,59852.22780953973
2021-04-22,3737872.758744468,21646.638560598112
2021-04-23,3578394.5202533645,17668.50738389908
2021-04-26,3454790.0197784207,34254.27376811429
2021-04-27,3239802.057833969,19741.791246548186
2021-04-28,3180786.714353564,10446.638609171041
2021-04-29,3132785.5670052497,12359.64718069734
2021-04-30,3048350.8355922396,26640.343930341318
2021-05-06,2638681.4358898634,8101.591414618666
2021-05-07,2583286.160739324,9353.482153074083
2021-05-10,2506243.1414653636,11168.204515806503
2021-05-11,2506146.4525653706,9357.69797572212
2021-05-12,2466353.4792070254,9357.69797572212
2021-05-13,2417609.9220639756,8547.129126089341
2021-05-14,2371895.6629571957,8173.13930536862
2021-05-17,2172924.0918274405,9722.906528877957
2021-05-18,2220763.325451911,9448.168192658875
2021-05-19,2217668.18341099,9138.211834106243
2021-05-20,2239016.7726052413,10256.901540040077
2021-05-21,2310645.5973074483,10256.901540040077
2021-05-24,2328313.258436671,10256.901540040077
2021-05-25,2337471.942007171,10053.075808235795
2021-05-26,2367259.3234903733,10053.075808235795
2021-05-27,2348208.376676279,24929.834833621848
2021-05-28,2332772.597925692,24409.569981121847
2021-05-31,2340770.0142068663,50715.13317569672
2021-06-01,2455805.2959027053,44455.23874149349
2021-06-02,2393521.5710157263,37423.49611808894
2021-06-03,2297055.0372064514,31224.23200928283
2021-06-04,2296318.0043128543,26905.914965133335
2021-06-07,2313970.5077586547,24875.785525881416
2021-06-08,2228445.6274327626,76192.04517304641
2021-06-09,2241673.4210282154,41802.74010549324
2021-06-10,2315821.3542288044,28498.881075753718
2021-06-11,2197987.679451838,25219.98651470109
2021-06-15,2128622.3767850264,18803.793436558706
2021-06-16,2005969.1212489828,26370.878356516234
2021-06-17,2029084.7186512728,18478.72477710425
2021-06-18,1976051.0760631561,59236.190217478914
2021-06-21,2006531.9600698124,32160.38363816946
2021-06-22,2020942.8669664245,24498.11543444774
2021-06-23,2049056.6164096799,25856.664102877
2021-06-24,1960836.6073553585,27463.91236402245
2021-06-25,1897321.387055645,23457.974447692217
2021-06-28,1969871.8259069622,21837.1654410697
2021-06-29,1930573.7035250831,20867.994344598337
2021-06-30,1678790.1697739542,18424.309577086733
2021-07-01,1598301.3096373205,17892.724688469385
2021-07-02,1557834.4837369304,17753.968711399113
2021-07-05,1647846.5167951249,17507.19840321055
2021-07-06,1443510.2183309263,16896.82307241055
2021-07-07,779756.4552501427,15610.055826575435
2021-07-08,760330.9020954098,16051.881679518085
2021-07-09,756688.1151389525,28169.048414836518
2021-07-12,778870.8814729318,26198.73523994306
2021-07-13,769092.876872536,23074.05782621192
2021-07-14,751428.4542565163,22322.973531691372
2021-07-15,704057.205918725,51522.08121596353
2021-07-16,694658.8587603342,43400.25268724744
2021-07-19,626071.353311488,41430.32778905762
2021-07-20,605978.4053344826,36673.609889168205
2021-07-21,614369.9780226231,32675.158579945866
2021-07-22,623976.4384992393,31895.050590365026
2021-07-23,603745.7993961461,31440.802331840583
2021-07-26,565899.4219638496,70103.09295929642
2021-07-27,532717.7380160922,64724.02559649093
2021-07-28,498628.06534158817,62924.94890782576
2021-07-29,499567.7029953452,40491.5970951658
2021-07-30,497774.9866266307,39483.70276088833
2021-08-02,496205.05257912184,32377.687179234897
2021-08-03,487927.48174830136,27840.567906391938
2021-08-04,490070.03892755235,25389.19122651885
2021-08-05,474771.7794339442,26893.650346889757
2021-08-06,464877.5870707532,24157.838365525808
2021-08-09,483257.7904323676,22605.31229707472
2021-08-10,493317.411726638,21977.21896396214
2021-08-11,489389.35033470235,21977.21896396214
2021-08-12,488628.2846733761,21977.21896396214
2021-08-13,474515.57991408545,21907.129073603905
2021-08-16,474393.7589019284,21395.772871429992
2021-08-17,454038.8119257469,20387.68810061228
2021-08-18,478508.1300460288,20387.68810061228
2021-08-19,470373.7493576189,22928.297465093863
2021-08-20,462661.3311621399,22152.333833911787
2021-08-23,472615.1070106389,22152.333833911787
2021-08-24,469078.95840319275,21770.509925379363
2021-08-25,462126.72344589565,21373.11515452509
2021-08-26,460654.9919336107,20991.101575016895
2021-08-27,449763.8308363195,20991.101575016895
2021-08-30,442718.5896424011,20991.101575016895
2021-08-31,459555.8361681999,20991.101575016895
2021-09-01,479988.61160314863,20991.101575016895
2021-09-02,483635.26296425186,20991.101575016895
2021-09-03,360885.5281847113,20991.101575016895
