date,portfolio_nav,benchmark_nav
2020-06-16,52348872.29299754,20.475196560196544
2020-06-17,51304119.81967586,20.2537592137592
2020-06-18,50363806.77966797,20.58636670761669
2020-06-19,51237549.48748003,20.681894963144945
2020-06-22,52236539.75497652,20.269536240786223
2020-06-23,52805129.39640673,20.04921683046681
2020-06-24,51574646.78231255,21.405405405405386
2020-06-29,50016135.1681084,20.63410319410318
2020-06-30,51351133.718286194,20.985859950859933
2020-07-01,51207135.50811189,24.233664004913983
2020-07-02,50164074.534486786,24.75405712530711
2020-07-03,52373601.83096582,25.20953624078622
2020-07-06,49317273.76789652,29.552837837837817
2020-07-07,51043402.95799041,28.196867321867305
2020-07-08,52413536.93988682,28.383292383292364
2020-07-09,54724616.30465417,28.814401105651086
2020-07-10,53948008.40094211,26.132951474201462
2020-07-13,46509173.36127734,26.18673218673217
2020-07-14,46591348.9371093,25.722469287469277
2020-07-15,43737467.4044736,24.56260442260441
2020-07-16,38080524.5768385,23.29396805896804
2020-07-17,37587749.163012125,22.7725092137592
2020-07-20,37524919.54886858,24.597358722358702
2020-07-21,37505285.28035664,24.09582616707615
2020-07-22,36839769.536938675,23.87267813267811
2020-07-23,36558851.75707007,23.2601474201474
2020-07-24,32678763.600187145,22.43921683046681
2020-07-27,30450931.00361655,21.8618673218673
2020-07-28,31140077.66410455,22.174351965601943
2020-07-29,33409088.22547432,22.57223894348892
2020-07-30,33985845.307022884,22.19085995085993
2020-07-31,34738957.186167374,22.124864864864843
2020-08-03,35803653.63455348,22.8562162162162
2020-08-04,35623649.71833392,23.63352579852577
2020-08-05,34527757.532223955,22.973664004913985
2020-08-06,34125032.301584415,23.024090909090884
2020-08-07,32995040.54686731,22.43921683046681
2020-08-10,33178259.296540596,23.75295147420145
2020-08-11,31974175.303548325,23.87267813267811
2020-08-12,29708093.844112936,25.315236486486462
2020-08-13,28818227.929879945,25.1216216216216
2020-08-14,28550364.36194016,23.53140049140047
2020-08-17,29999111.78898218,24.44115786240784
2020-08-18,31221305.72281165,23.56541769041766
2020-08-19,30110658.98594078,23.12511056511054
2020-08-20,29629497.05165786,23.192579852579826
2020-08-21,31351487.971802246,22.990466830466804
2020-08-24,32372464.411966138,22.60555589680587
2020-08-25,32922977.743451357,22.705654176904154
2020-08-26,32229847.879444934,22.522309582309557
2020-08-27,34533123.19852515,22.30658783783781
2020-08-28,35341991.401341274,23.34474508599506
2020-08-31,35641530.52017585,22.839462530712503
2020-09-01,33737963.77776474,22.75578624078621
2020-09-02,35349315.660760455,23.2601474201474
2020-09-03,33494454.81068198,23.752951474201453
2020-09-04,32295399.75869155,24.199167690417667
2020-09-07,32483978.147959348,24.82386056511054
2020-09-08,34403972.64783933,24.5973587223587
2020-09-09,32055212.40233725,24.044238329238308
2020-09-10,27141807.535801083,24.87627764127761
2020-09-11,27059797.170249626,24.078624078624053
2020-09-14,24160632.29699263,23.56541769041766
2020-09-15,24173352.971922215,23.85555589680587
2020-09-16,23686986.315943096,24.4065141277641
2020-09-17,24351528.797782462,24.181928746928715
2020-09-18,24740086.984375525,26.36640049140046
2020-09-21,24200706.557141017,26.07922604422601
2020-09-22,22909905.75936497,25.758034398034365
2020-09-23,23445816.911602225,25.297604422604387
2020-09-24,21618738.109795164,24.250921375921344
2020-09-25,21233593.91283062,23.429496314496284
2020-09-28,19569962.09259617,24.77149877149873
2020-09-29,16466503.773710879,24.579978501228464
2020-09-30,16578177.070096882,24.11303439803436
2020-10-09,18010577.6852574,24.13024877149874
2020-10-12,19204796.970922038,24.61474508599505
2020-10-13,19439518.31916183,24.0614281326781
2020-10-14,19734105.04861521,23.701732186732155
2020-10-15,17552357.31194729,23.565417690417657
2020-10-16,17424151.508236483,23.83843980343977
2020-10-19,17120870.108570483,23.633525798525763
2020-10-20,17403059.766169395,23.192579852579826
2020-10-21,18281004.18841144,23.44646498771495
2020-10-22,17886377.026635148,24.061428132678092
2020-10-23,15600522.766515497,23.872678132678097
2020-10-26,14823199.163308315,24.07862407862405
2020-10-27,15034096.496911677,23.175703316953285
2020-10-28,14367109.55811432,22.25695331695329
2020-10-29,11379656.58393292,23.02409090909088
2020-10-30,10935894.289175,23.310887592137565
2020-11-02,10428248.750425665,23.99270577395574
2020-11-03,10873993.530521113,24.13024877149874
2020-11-04,11175499.991677323,24.354594594594563
2020-11-05,11539338.894565498,26.276489557739524
2020-11-06,10932232.22862604,26.655147420147387
2020-11-09,11391958.091184018,26.85457309582306
2020-11-10,11337845.22299077,26.420420761670727
2020-11-11,9061910.347958982,27.219069410319378
2020-11-12,8860039.923568616,27.200786240786208
2020-11-13,8775180.487703297,25.91838144963142
2020-11-16,8634230.569642607,26.186732186732154
2020-11-17,8389275.122248324,27.5492168304668
2020-11-18,8227671.621366177,29.059508599508565
2020-11-19,8418697.462707093,29.343614864864826
2020-11-20,8449510.080460355,29.26771805896802
2020-11-23,8090641.813471176,29.590958230958183
2020-11-24,7885046.945003269,29.22980651105647
2020-11-25,7084313.198082409,29.13513513513509
2020-11-26,6810756.170359777,29.40060196560193
2020-11-27,6856522.03944911,30.687718058968013
2020-11-30,6781105.192834493,28.946253071253025
2020-12-01,7284596.233097815,29.04061732186728
2020-12-02,7279753.748384232,29.762804054054005
2020-12-03,7453680.523906993,29.3246314496314
2020-12-04,7476551.149040182,27.6412776412776
2020-12-07,7449972.2674679505,26.56474508599505
2020-12-08,7480579.686405317,26.1508722358722
2020-12-09,7094026.849653016,25.22713759213756
2020-12-10,7208156.8977262685,25.08649877149873
2020-12-11,6802132.231355913,24.876277641277603
2020-12-14,6837607.0468869135,25.686928746928707
2020-12-15,7042673.960596875,25.03386056511053
2020-12-16,7069249.756670855,25.121621621621586
2020-12-17,7489034.807850057,25.545012285012245
2020-12-18,7359473.80610225,24.946253071253032
2020-12-21,7058806.499112219,24.37189496314493
2020-12-22,6734892.491538741,24.16469594594591
2020-12-23,6520695.509542735,23.78712837837834
2020-12-24,6068467.279495972,23.975540540540507
2020-12-25,6663479.978514574,24.25092137592134
2020-12-28,6548330.245866412,24.806400491400456
2020-12-29,6631298.3428306,24.981277641277604
2020-12-30,6995751.116908516,24.736621621621584
2020-12-31,7534835.18436464,25.297604422604387
2021-01-04,7423496.801949823,23.70173218673215
2021-01-05,8184880.594437982,23.924081695331655
2021-01-06,8223176.959923499,25.38582616707613
2021-01-07,9360762.370476369,25.456514127764084
2021-01-08,9411496.221080968,26.43843980343976
2021-01-11,9699370.631349497,27.237358722358675
2021-01-12,9337873.203855379,27.091216216216168
2021-01-13,8912864.586799074,27.45730958230953
2021-01-14,8120790.48730823,27.62285319410314
2021-01-15,7898570.745969894,27.549216830466776
2021-01-18,9673267.315909563,30.011904176904125
2021-01-19,9969530.336428847,30.05031941031936
2021-01-20,11661956.996923484,28.57033169533164
2021-01-21,11651984.04245622,27.8258599508599
2021-01-22,12067622.952882502,26.29445945945941
2021-01-25,13323099.267674701,26.474496314496257
2021-01-26,12100285.206380874,27.09121621621616
2021-01-27,11349366.15902549,26.54668304668299
2021-01-28,10566243.709605232,24.823860565110515
2021-01-29,10676204.672595467,23.71879914004909
2021-02-01,11594397.006413475,24.19916769041764
2021-02-02,11961621.082636263,24.66694103194098
2021-02-03,13743078.630814333,23.94122850122845
2021-02-04,13865236.11156928,23.889806511056463
2021-02-05,14443464.939800156,25.61592137592132
2021-02-08,15291948.656684568,26.0613298525798
2021-02-09,17094013.741118282,25.38582616707611
2021-02-10,19037398.629796915,25.52730036855031
2021-02-18,15930228.969811853,27.659708230958174
2021-02-19,13537016.813340878,27.347223587223525
2021-02-22,12450918.99277957,27.145973587223523
2021-02-23,13288510.253306666,27.65970823095817
2021-02-24,12778713.286217967,27.62285319410313
2021-02-25,11892431.18442673,33.425678746928675
2021-02-26,10966737.263230005,33.6489557739557
2021-03-01,10478155.085484747,34.15916769041761
2021-03-02,9991388.476145884,34.03636670761662
2021-03-03,10206536.911547584,34.46713759213751
2021-03-04,8130696.444031569,32.82051904176896
2021-03-05,7860759.5357290665,30.551953316953245
2021-03-08,6993780.229510942,29.896805896805827
2021-03-09,6332821.497102602,29.55283783783777
2021-03-10,6758621.224061488,28.927398648648584
2021-03-11,7277381.697076507,29.80105958230951
2021-03-12,7529083.418572807,30.4551627764127
2021-03-15,6753896.862436828,30.35852579852573
2021-03-16,6781512.937549378,33.24355036855029
2021-03-17,7173683.5429610275,32.86069103194095
2021-03-18,8126878.209387729,32.840601965601884
2021-03-19,7667966.182445253,29.896805896805823
2021-03-22,7384068.979168545,30.726563267813187
2021-03-23,7782587.820661568,30.319914004913933
2021-03-24,6012192.823252896,29.059508599508533
2021-03-25,5887974.63689681,28.664081695331625
2021-03-26,5880885.79203991,28.983980343980267
2021-03-29,5658298.270181519,29.514742014741945
2021-03-30,5407245.968442671,30.223492014741943
2021-03-31,5235274.954317654,27.641277641277576
2021-04-01,5055656.851176291,27.328897420147356
2021-04-02,4784810.751630774,27.64127764127758
2021-04-06,4767520.642117966,26.60088759213753
2021-04-07,4582045.502971273,27.091216216216157
2021-04-08,4524237.74752469,26.132951474201416
2021-04-09,4528076.434130181,25.580454545454483
2021-04-12,4415120.728219064,25.104057125307065
2021-04-13,4284196.467950088,24.57997850122844
2021-04-14,4036863.720749475,25.403488943488888
2021-04-15,3930321.46629718,25.174351965601907
2021-04-16,4035009.2505684225,25.598184889434837
2021-04-19,4125637.5447777626,25.82923832923827
2021-04-20,4079841.3380537666,25.350519041768983
2021-04-21,3779543.174337921,25.20953624078618
2021-04-22,3737872.758744468,25.86487714987709
2021-04-23,3578394.5202533645,24.233664004913948
2021-04-26,3454790.0197784207,23.56541769041764
2021-04-27,3239802.057833969,23.9583814496314
