date,stock,shares,price,value
2021-03-26,600333.SH,16451,5.793333333333333,95306.12666666666
2021-03-26,300182.SZ,184,3.3112295081967167,609.2662295081959
2021-03-26,000937.SZ,88,3.4973233695652146,307.7644565217389
2021-03-26,300819.SZ,1521,72.08723502304149,109644.68447004611
2021-03-26,605336.SH,637,21.252664379645516,13537.947209834194
2021-03-26,000816.SZ,14854,6.909139072847673,102628.35178807934
2021-03-26,601899.SH,621,20.36765789473688,12648.315552631602
2021-03-26,600929.SH,94,4.293759455370656,403.6133888048417
2021-03-26,300720.SZ,3204,32.382591404746634,103753.82286080821
2021-03-26,002927.SZ,20076,5.238104543234,105160.18680996579
2021-03-26,601015.SH,7933,14.242198142414866,112983.35786377713
2021-03-26,002170.SZ,75,4.68775297619047,351.58147321428527
2021-03-26,002494.SZ,99,2.2013943894389465,217.9380445544557
2021-03-26,000680.SZ,23284,4.416621621621621,102836.61783783782
2021-03-26,002240.SZ,2210,53.11186323713936,117377.21775407798
2021-03-26,601198.SH,11038,9.611574923547389,106092.56400611608
2021-03-26,300735.SZ,50,5.358899887934259,267.94499439671296
2021-03-26,000031.SZ,87,2.189274861878457,190.46691298342577
2021-03-26,002707.SZ,1710,7.245884676145351,12390.462796208549
2021-03-26,603369.SH,1516,70.54062111801233,106939.58161490668
2021-03-26,000545.SZ,97,2.642307692307692,256.3038461538461
2021-03-26,600261.SH,53,3.226778947368416,171.01928421052605
2021-03-26,000802.SZ,83,3.1433165829145664,260.895276381909
2021-03-26,300756.SZ,6576,15.070651558073632,99104.6046458922
2021-03-26,601588.SH,179,1.6337837837837856,292.4472972972976
2021-03-26,300218.SZ,106,17.243977556109744,1827.861620947633
2021-03-26,300221.SZ,139,9.07188679245282,1260.992264150942
2021-03-26,002489.SZ,5,3.1178864168618223,15.589432084309111
2021-03-26,002878.SZ,9941,12.41418148375232,123409.37812998181
2021-03-26,601226.SH,17,4.023606557377048,68.40131147540981
2021-03-26,002233.SZ,12,11.539614933541824,138.47537920250187
2021-03-26,300192.SZ,7696,15.069113128491637,115971.89463687164
2021-03-26,002580.SZ,185,6.159981481481478,1139.5965740740735
2021-03-26,300707.SZ,18,10.303835227272709,185.46903409090876
2021-03-26,002716.SZ,248,1.9242160278745648,477.2055749128921
2021-03-26,300864.SZ,1249,73.37741491988919,91648.3912349416
2021-03-26,605100.SH,81,32.265727368791815,2613.523916872137
2021-03-26,300564.SZ,107,18.068885927505367,1933.3707942430742
2021-03-26,688160.SH,4965,20.38664899211217,101219.71224583693
2021-03-26,002482.SZ,725,1.5958885209713007,1157.019177704193
2021-03-26,603360.SH,80,5.726905305191109,458.15242441528875
2021-03-26,600673.SH,273,2.563065326633173,699.7168341708561
2021-03-26,600279.SH,104,2.7693216630196886,288.0094529540476
2021-03-26,600602.SH,282,3.7139179548156975,1047.3248632580267
2021-03-26,688233.SH,6327,15.651455874807574,99026.76131990753
2021-03-26,001914.SZ,7679,15.214890081799592,116835.14093813907
2021-03-26,603309.SH,21,10.995472373806296,230.9049198499322
2021-03-26,000995.SZ,1008,12.015545161290325,12111.669522580647
2021-03-26,603616.SH,21793,4.372610778443114,95292.30669461079
2021-03-26,603908.SH,130,19.53550508010941,2539.6156604142234
2021-03-26,300717.SZ,37,12.021585697042855,444.7986707905857
2021-03-26,600834.SH,9557,10.897556894243612,104147.9512382862
2021-03-26,000920.SZ,96,6.489408482142863,622.9832142857148
2021-03-26,600313.SH,13151,8.096774193548402,106480.67741935504
2021-03-26,300468.SZ,11353,11.123150349650338,126281.12591958028
2021-03-26,300377.SZ,17,5.88528661087866,100.04987238493723
2021-03-26,002222.SZ,6261,17.834425515055425,111661.33814976201
2021-03-26,603103.SH,99,12.781018753167771,1265.3208565636094
2021-03-26,002042.SZ,89,3.204972972972968,285.24259459459415
2021-03-26,600015.SH,4331,5.384074675324675,23318.42741883117
2021-03-26,600138.SH,8931,13.377287109374992,119472.55117382805
2021-03-26,000045.SZ,11411,9.556656824146977,109051.01102034115
2021-03-26,603038.SH,9086,10.419180686406465,94668.67571668913
2021-03-26,002021.SZ,336,1.1256000000000006,378.2016000000002
2021-03-26,002483.SZ,89,5.227775175644031,465.27199063231876
2021-03-26,300893.SZ,3828,25.909304136253063,99180.81623357673
2021-03-26,000592.SZ,33767,3.4497577854671286,116487.97114186853
2021-03-26,603220.SH,191,6.325090308370044,1208.0922488986782
2021-03-26,603661.SH,1116,95.83110102472702,106947.50874359535
2021-03-26,002425.SZ,1259,11.423521367521348,14382.213401709376
2021-03-26,001872.SZ,25,12.427852975495908,310.6963243873977
2021-03-26,000779.SZ,50,8.607685990338162,430.3842995169081
2021-03-26,601996.SH,24400,4.635786713286721,113113.19580419599
2021-03-26,002675.SZ,4779,22.762879213483128,108783.79976123587
2021-03-26,603298.SH,2347,40.85289321511182,95881.74037586745
2021-03-26,000766.SZ,48699,2.1416095890410998,104294.24537671251
2021-03-26,603860.SH,6423,16.447650362318843,105643.25827717393
